TITLE: Interpolation of Copying vs Moving for Differently Sized Messages
XAXIS: Message Size
YAXIS: Latency (microseconds)
[MOV] -> 315591943
[MOV] <- 315592698
[MOV] -> 316455421
[MOV] <- 316456201
[MOV] -> 317321386
[MOV] <- 317322209
[CPY] -> 335468537
[CPY] <- 335469457
[CPY] -> 336334699
[CPY] <- 336335536
[CPY] -> 337200857
[CPY] <- 337201665
[CPY] -> 338067036
[CPY] <- 338067840
[CPY] -> 338933461
[CPY] <- 338934263
[CPY] -> 339799550
[CPY] <- 339800387
[CPY] -> 340665751
[CPY] <- 340666635
[CPY] -> 341531930
[CPY] <- 341532793
[CPY] -> 342398095
[CPY] <- 342398939
[CPY] -> 343264290
[CPY] <- 343265173

SIZE: 11000
[MOV] -> 352773864
[MOV] <- 352774835
[MOV] -> 353639849
[MOV] <- 353640655
[MOV] -> 354505832
[MOV] <- 354506628
[MOV] -> 355371801
[MOV] <- 355372579
[MOV] -> 356237733
[MOV] <- 356238789
[MOV] -> 357103666
[MOV] <- 357104462
[MOV] -> 357966911
[MOV] <- 357967696
[MOV] -> 358835566
[MOV] <- 358836447
[MOV] -> 359701542
[MOV] <- 359702326
[MOV] -> 360567698
[MOV] <- 360568487
[CPY] -> 378711974
[CPY] <- 378712839
[CPY] -> 379578198
[CPY] <- 379579069
[CPY] -> 380444423
[CPY] <- 380445318
[CPY] -> 381310654
[CPY] <- 381311458
[CPY] -> 382176905
[CPY] <- 382177748
[CPY] -> 383043250
[CPY] <- 383044192
[CPY] -> 383909479
[CPY] <- 383910341
[CPY] -> 384775759
[CPY] <- 384776630
[CPY] -> 385641993
[CPY] <- 385642878
[CPY] -> 386508220
[CPY] <- 386509122

SIZE: 12000
[MOV] -> 396017985
[MOV] <- 396018962
[MOV] -> 396883966
[MOV] <- 396884762
[MOV] -> 397749925
[MOV] <- 397750772
[MOV] -> 398615952
[MOV] <- 398616757
[MOV] -> 399481944
[MOV] <- 399482719
[MOV] -> 400348120
[MOV] <- 400348858
[MOV] -> 401211009
[MOV] <- 401211764
[MOV] -> 402079977
[MOV] <- 402080762
[MOV] -> 402945960
[MOV] <- 402946744
[MOV] -> 403811946
[MOV] <- 403812696
[CPY] -> 421956267
[CPY] <- 421957139
[CPY] -> 422822520
[CPY] <- 422823357
[CPY] -> 423688818
[CPY] <- 423689719
[CPY] -> 424555117
[CPY] <- 424555993
[CPY] -> 425421444
[CPY] <- 425422285
[CPY] -> 426287731
[CPY] <- 426288847
[CPY] -> 427154007
[CPY] <- 427154902
[CPY] -> 428020311
[CPY] <- 428021143
[CPY] -> 428886573
[CPY] <- 428887416
[CPY] -> 429752882
[CPY] <- 429753753
